state,x,y
Ladakh,-102.0,249.0
Jammu And Kashmir,-137.0,226.0
Himachal Pradesh,-101.0,191.0
Punjab,-129.0,168.0
Haryana,-113.0,143.0
Uttarakhand,-70.0,160.0
Delhi,-89.0,127.0
Uttar Pradesh,-54.0,100.0
Rajasthan,-183.0,96.0
Madhya Pradesh,-107.0,28.0
Bihar,39.0,77.0
Assam,136.0,94.0
Andhra pradesh,-85.0,-121.0
Arunachal Pradesh,173.0,136.0
Chhattisgarh,-26.0,1.0
Goa,-149.0,-111.0
Gujarat,-194.0,29.0
Jharkhand,25.0,43.0
Karnataka,-138.0,-129.0
Kerala,-109.0,-215.0
Maharashtra,-158.0,-36.0
Manipur,177.0,68.0
Meghalaya,126.0,77.0
Mizoram,166.0,43.0
Nagaland,190.0,93.0
Odisha,10.0,-19.0
Sikkim,90.0,112.0
Tamil Nadu,-95.0,-189.0
Telangana,-81.0,-73.0
Tripura,141.0,47.0
West Bengal,68.0,31.0
Andaman And Nicobar Island,143.0,-198.0
Daman And Diu,-167.0,-21.0
Lakshadweep,-197.0,-189.0
Puducherry,-40.0 -167.0